user_na,user_c,t
随便还好我不要,这是赚第二次钱？,Sat Mar 13 09:20:35 +0800 2021
弎月_rr,这可是十年前的票房成绩，要是现在是首映不得把复联秒成渣,Sat Mar 13 09:20:17 +0800 2021
火锅煮的小笼包,遍,Sat Mar 13 09:19:32 +0800 2021
康帅傅的室友,受疫情影响，欧美电影市场这两年估计有点难，来中国割点韭菜，搞点钱。,Sat Mar 13 09:19:14 +0800 2021
alam_777,次,Sat Mar 13 09:19:08 +0800 2021
施主醉过,圈钱来的，然后去支持台湾，滚,Sat Mar 13 09:17:45 +0800 2021
长颈鹿团儿,割韭菜,Sat Mar 13 09:16:28 +0800 2021
gnoDnaiJnaH,票价18,Sat Mar 13 09:15:48 +0800 2021
跟鲨鱼打Kiss,吗,Sat Mar 13 09:14:41 +0800 2021
飞飞飞飞飞飞奇,喝咖啡的又来了，电脑看这电影就是糟蹋了？不在电影院看就是不懂这电影？您要看就去看呗，还批判别人，炫耀您精致生活，真是越缺啥越炫耀啥，这电影除了预告我都没看过,Sat Mar 13 09:14:33 +0800 2021
Jaylin85,吗,Sat Mar 13 09:14:16 +0800 2021
暴走的馒头君,映,Sat Mar 13 09:14:11 +0800 2021
LLLLLLL侨,想看不能说的秘密，能不能安排下国产电影啊,Sat Mar 13 09:13:10 +0800 2021
洛一丘,经典，想哭,Sat Mar 13 09:12:18 +0800 2021
Visyoung,狗,Sat Mar 13 09:10:12 +0800 2021
拾穗且行歌,亚,Sat Mar 13 09:09:41 +0800 2021
朱颖-zZ,以为是2上映 昨天差点一冲动买票去看了 还好时间不允许,Sat Mar 13 09:08:03 +0800 2021
毛姆的二流粉丝,圈,Sat Mar 13 09:08:01 +0800 2021
禾人Sir,二十多亿美元？我没看错吧？这票房，摔国产几条街了？能比吗这。。。,Sat Mar 13 09:05:48 +0800 2021
v牛瓜娃一般瓜v,为什么不重映 国内影片,Sat Mar 13 09:03:27 +0800 2021
幸运上弦月,什么时候再重印下暮光之城呢？想去电影院看,Sat Mar 13 09:03:24 +0800 2021
半摇不滚,多,Sat Mar 13 09:03:02 +0800 2021
小破孩qqq,没看过。。。哎,Sat Mar 13 08:59:59 +0800 2021
新新娘克洛伊美学摄影,欢,Sat Mar 13 08:59:51 +0800 2021
诗人与牧笛,微博真神奇的看个电影都能撕起来,Sat Mar 13 08:58:54 +0800 2021
最爱芝士汉堡,好家伙，看电影都能看出优越感吗,Sat Mar 13 08:58:41 +0800 2021
鈴芷声,居然还有2200万，只能一声卧槽行天下,Sat Mar 13 08:58:02 +0800 2021
creep1818,从小时候看过后就很久没有看过这种史诗级大片了,Sat Mar 13 08:53:05 +0800 2021
我来起个名字吧,阿凡达第一，不接受反驳,Sat Mar 13 08:51:44 +0800 2021
老街阿晨zzZ,韭菜割起来,Sat Mar 13 08:51:01 +0800 2021
