univNameCn,univNameEn,univTags,univCategory,province,score,ranking
西安建筑科技大学,Xi'an University of Architecture and Technology,,理工,陕西,38,124
广州医科大学,Guangzhou Medical University,,医药,广东,37,127
河北师范大学,Hebei Normal University,,师范,河北,37,127
广东工业大学,Guangdong University of Technology,,理工,广东,37,129
上海海事大学,Shanghai Maritime University,,理工,上海,37,129
南昌大学,Nanchang University,一流学科 211,综合,江西,37,131
渤海大学,Bohai University,,综合,辽宁,37,132
青岛科技大学,Qingdao University of Science and Technology,,理工,山东,37,133
西安理工大学,Xi'an University of Technology,,理工,陕西,37,134
安徽医科大学,Anhui Medical University,,医药,安徽,37,135
东北石油大学,Northeast Petroleum University,,理工,黑龙江,37,135
黑龙江中医药大学,Heilongjiang University of Chinese Medicine,,医药,黑龙江,37,135
沈阳航空航天大学,Shenyang Aerospace University,,理工,辽宁,37,138
山东财经大学,Shandong University of Finance and Economics,,财经,山东,36,139
江苏师范大学,Jiangsu Normal University,,师范,江苏,36,140
三峡大学,China Three Gorges University,,综合,湖北,36,140
黑龙江大学,Heilongjiang University,,综合,黑龙江,36,142
天津师范大学,Tianjin Normal University,,师范,天津,36,142
北京工商大学,Beijing Technology and Business University,,财经,北京,36,144
长春理工大学,Changchun University of Science and Technology,,理工,吉林,36,144
天津工业大学,Tiangong University,一流学科,理工,天津,36,146
武汉工程大学,Wuhan Institute of Technology,,理工,湖北,36,146
中国计量大学,China Jiliang University,,理工,浙江,36,146
安徽师范大学,Anhui Normal University,,师范,安徽,36,149
福建师范大学,Fujian Normal University,,师范,福建,36,149
山西师范大学,Shanxi Normal University,,师范,山西,36,149
温州大学,Wenzhou University,,综合,浙江,36,149
西南石油大学,Southwest Petroleum University,一流学科,理工,四川,36,153
济南大学,University of Jinan,,综合,山东,36,154
山东师范大学,Shandong Normal University,,师范,山东,36,154
江苏科技大学,Jiangsu University of Science and Technology,,理工,江苏,35,156
浙江中医药大学,Zhejiang Chinese Medical University,,医药,浙江,35,156
郑州大学,Zhengzhou University,一流大学B类 211,综合,河南,35,156
广州大学,Guangzhou University,,综合,广东,35,159
河南大学,Henan University,一流学科,综合,河南,35,160
重庆邮电大学,Chongqing University of Posts and Telecommunications,,理工,重庆,35,161
辽宁工业大学,Liaoning University of Technology,,理工,辽宁,35,161
安徽工业大学,Anhui University of Technology,,理工,安徽,35,163
辽宁师范大学,Liaoning Normal University,,师范,辽宁,35,163
中国民航大学,Civil Aviation University of China,,理工,天津,35,163
中南民族大学,South Central University For Nationalities,,民族,湖北,35,166
上海海洋大学,Shanghai Ocean University,一流学科,农业,上海,35,167
四川农业大学,Sichuan Agricultural University,一流学科 211,农业,四川,35,167
广西师范大学,Guangxi Normal University,,师范,广西,35,169
河南理工大学,Henan Polytechnic University,,理工,河南,35,169
集美大学,Jimei University,,综合,福建,35,169
沈阳建筑大学,Shenyang Jianzhu University,,理工,辽宁,35,169
西北师范大学,Northwest Normal University China,,师范,甘肃,35,169
天津科技大学,Tianjin University of Science and Technology,,理工,天津,35,174
北方工业大学,North China University of Technology,,理工,北京,34,175
成都理工大学,Chengdu University of Technology,一流学科,理工,四川,34,175
海南大学,Hainan University,一流学科 211,综合,海南,34,175
湖南农业大学,Hunan Agricultural University,,农业,湖南,34,175
南京中医药大学,Nanjing University of Chinese Medicine,一流学科,医药,江苏,34,175
贵州大学,Guizhou University,一流学科 211,综合,贵州,34,180
南通大学,Nantong University,,综合,江苏,34,180
云南师范大学,Yunnan Normal University,,师范,云南,34,180
浙江农林大学,Zhejiang A&F University,,林业,浙江,34,180
北京建筑大学,Beijing University of Civil Engineering and Architecture,,理工,北京,34,184
常州大学,Changzhou University,,理工,江苏,34,184
福建中医药大学,Fujian University of Traditional Chinese Medicine,,医药,福建,34,184
宁夏大学,Ningxia University,一流学科 211,综合,宁夏,34,184
西安邮电大学,Xi'an University of Posts and Telecommunications,,理工,陕西,34,184
兰州交通大学,Lanzhou Jiaotong University,,理工,甘肃,34,189
中北大学,North University of China,,理工,山西,34,189
大连交通大学,Dalian Jiaotong University,,理工,辽宁,34,191
河南师范大学,Henan Normal University,,师范,河南,34,191
南华大学,University of South China,,综合,湖南,34,191
内蒙古大学,Inner Mongolia University,一流学科 211,综合,内蒙古,34,191
苏州科技大学,Suzhou University of Science and Technology,,理工,江苏,34,191
福建农林大学,Fujian Agriculture and Forestry University,,农业,福建,34,196
山东科技大学,Shandong University of Science and Technology,,理工,山东,34,197
陕西科技大学,Shaanxi University of Science and Technology,,理工,陕西,34,197
沈阳农业大学,Shenyang Agricultural University,,农业,辽宁,34,197
兰州理工大学,Lanzhou University of Technology,,理工,甘肃,34,200
太原科技大学,Taiyuan University of Science and Technology,,理工,山西,34,200
长江大学,Yangtze University,,综合,湖北,34,202
徐州医科大学,Xuzhou Medical College,,医药,江苏,34,202
重庆工商大学,Chongqing Technology and Business University,,财经,重庆,34,204
江西师范大学,Jiangxi Normal University,,师范,江西,33,205
青岛理工大学,Qingdao University of Technology,,理工,山东,33,205
山东农业大学,Shandong Agricultural University,,农业,山东,33,207
绍兴文理学院,Shaoxing University,,师范,浙江,33,207
武汉轻工大学,Wuhan Polytechnic University,,理工,湖北,33,209
哈尔滨理工大学,Harbin University of Science and Technology,,理工,黑龙江,33,210
辽宁工程技术大学,Liaoning Technical University,,理工,辽宁,33,210
桂林理工大学,Guilin University of Technology,,理工,广西,33,212
河北工程大学,Hebei University of Engineering,,理工,河北,33,212
湖南科技大学,Hunan University of Science and Technology,,综合,湖南,33,212
沈阳工业大学,Shenyang University of Technology,,理工,辽宁,33,212
延边大学,Yanbian University,一流学科 211,综合,吉林,33,212
昆明理工大学,Kunming University of Science and Technology,,理工,云南,33,217
烟台大学,Yantai University,,综合,山东,33,217
中南林业科技大学,Central South University of Forestry & Technology,,林业,湖南,33,217
广东医科大学,Guangdong Medical University,,医药,广东,33,220
山西医科大学,Shanxi Medical University,,医药,山西,33,220
北京信息科技大学,Beijing Information Science & Technology University,,理工,北京,33,222
广西民族大学,Guangxi University for Nationalities,,民族,广西,33,222
山西大同大学,Shanxi Datong University,,综合,山西,33,222
西安石油大学,Xi'an Shiyou University,,理工,陕西,33,222
西南医科大学,Southwest Medical University,,医药,四川,33,222
河南工业大学,Henan University of Technology,,理工,河南,32,227
桂林电子科技大学,Guilin University of Electronic Technology,,理工,广西,32,228
河南科技大学,Henan University of Science and Technology,,理工,河南,32,228
上海电力大学,Shanghai University of Electric Power,,理工,上海,32,228
大连民族大学,Dalian Minzu University,,民族,辽宁,32,231
哈尔滨师范大学,Harbin Normal University,,师范,黑龙江,32,231
淮阴师范学院,Huaiyin Normal University,,师范,江苏,32,231
嘉兴学院,Jiaxing University,,综合,浙江,32,231
南京林业大学,Nanjing Forestry University,一流学科,林业,江苏,32,231
大连大学,Dalian University,,综合,辽宁,32,236
浙江海洋大学,Zhejiang Ocean University,,农业,浙江,32,236
常熟理工学院,Changshu Institute of Technology,,理工,江苏,32,238
大连海洋大学,Dalian Ocean University,,农业,辽宁,32,238
曲阜师范大学,Qufu Normal University,,师范,山东,32,238
四川师范大学,Sichuan Normal University,,师范,四川,32,241
湖南工业大学,Hunan University of Technology,,理工,湖南,32,242
石河子大学,Shihezi University,一流学科 211,综合,新疆,32,242
大连工业大学,Dalian Polytechnic University,,理工,辽宁,32,244
长春工业大学,Changchun University of Technology,,理工,吉林,32,245
西南民族大学,Southwest Minzu University,,民族,四川,32,245
辽宁石油化工大学,Liaoning shihua University,,理工,辽宁,31,247
宁波工程学院,Ningbo University of Technology,,理工,浙江,31,247
成都中医药大学,Chengdu University of Traditional Chinese Medicine,一流学科,医药,四川,31,249
吉林师范大学,Jilin Normal University,,师范,吉林,31,250
南昌航空大学,Nanchang Hangkong University,,理工,江西,31,250
上海应用技术大学,Shanghai Institute of Technology,,理工,上海,31,250
西安工程大学,Xi'an Polytechnic University,,理工,陕西,31,253
山西农业大学,Shanxi Agricultural University,,农业,山西,31,254
沈阳理工大学,Shenyang Ligong University,,理工,辽宁,31,254
安徽农业大学,Anhui Agricultural University,,农业,安徽,31,256
广东药科大学,Guangdong Pharmaceutical University,,医药,广东,31,256
河南农业大学,Henan Agricultural University,,农业,河南,31,256
锦州医科大学,Jinzhou Medical University,,医药,辽宁,31,256
盐城工学院,Yancheng Institute of Technology,,理工,江苏,31,260
长春大学,Changchun University,,综合,吉林,31,261
重庆师范大学,Chongqing Normal University,,师范,重庆,31,261
华东交通大学,East China Jiaotong University,,理工,江西,31,261
山东建筑大学,Shandong Jianzhu University,,理工,山东,31,261
安徽理工大学,Anhui University of Science and Technology,,理工,安徽,30,265
山东理工大学,Shandong University of Technology,,理工,山东,30,265
沈阳大学,Shenyang University,,综合,辽宁,30,265
西南科技大学,Southwest University of Science and Technology,,理工,四川,30,265
山东中医药大学,Shandong University of Traditional Chinese Medicine,,医药,山东,30,269
西华师范大学,China West Normal University,,师范,四川,30,269
广东海洋大学,Guangdong Ocean University,,农业,广东,30,271
洛阳师范学院,Luoyang Normal University,,师范,河南,30,272
内蒙古工业大学,Inner Mongolia University of Technology,,理工,内蒙古,30,272
甘肃农业大学,Gansu Agricultural University,,农业,甘肃,30,274
五邑大学,Wuyi University,,综合,广东,30,274
西华大学,Xihua University,,综合,四川,30,274
江西理工大学,Jiangxi University of Science and Technology,,理工,江西,29,277
