联想ThinkPad P15V i5/i7轻薄移动图形工作站3D建模设计师15.6英寸绘图笔记本电脑 01CD】P620专业卡FHD屏i5-10300H 【定制升配】16G内存 1TB固态硬盘P52s升级款十代标压处理器，Quadro专业图形显卡，指纹/人脸识别，WIFI6，ISV认证，支持雷电3及高速网口，赠送一年意外及数据拯救服务！推荐配置,8799.00,ThinkPad华南授权专卖店
2020新款华为笔记本MateBook 14轻薄本2K触控全面屏超薄便携商务办公学生手提笔记本电脑 灰|十代i7 16G+512G MX350 触屏2020新款华为笔记本MateBook 14轻薄本2K触控全面屏超薄便携商务办公学生手提笔记本电脑 灰|十代i7 16G+512G MX350 触屏,7999.00,华为康特专卖店
联想（Lenovo）小新13十代酷睿i5轻薄本 2020款高色域笔记本电脑 商务设计游戏便携设计本 定制丨i5 10210U 8G 1024G 独显 13.3英寸 银色【限时秒杀返场，惊喜价低至4399元起，错过悔终身】10代酷睿处理器丨MX350游戏独显可选丨72%高色域屏丨纤薄机身，长效续航丨联系客服，直播间下单再减50,5099.00,联想航电授权专卖店
神舟(HASEE) 战神A7000 AMD 6核 R5-3600 RTX2070 8G 15.6英寸144Hz游戏笔记本电脑（8G 512G SSD 72%色域）神舟AMD游戏本全新上市，RTX2070光追旗舰独显，72%色域144Hz电竞屏，双风扇六铜管高效散热十代游戏本新品特惠,8099.00,神舟电脑京东自营旗舰店
联想15s 2020十代酷睿i5 15.6英寸大屏办公设计高性能独显游戏学生超轻薄手提笔记本电脑 i5-1035G1 8G内存 1T+256G固态 MX330 2G独显 全高清屏 银色 定制增强版【大屏性能本】游戏、办公、学习毫不逊色【新机型高配置】英特尔十代酷睿i5、MX330高能显卡【咨询享优惠】限时领300元神券、再赠199元双肩包套装,4999.00,联想德信专卖店
神舟(HASEE)战神ZX6-CU5DA 英特尔酷睿i5-10400 GTX1650 4G 15.6英寸144Hz游戏笔记本(8G 512G SSD IPS)全新十代酷睿I5-10400桌面处理器，GTX1650新显卡，144Hz屏幕让游戏快人一步。十代游戏本新品特惠,4989.00,神舟电脑京东自营旗舰店
【十代酷睿i7】联想ThinkPad E14 2020新品 14英寸 独显轻薄商务办公手提笔记本电脑 标配：十代i5 8G 1T 128G@3CCD 十代处理器 正版Win10 全面高清屏酷睿10代i5/i7处理器丨RX640-2G独显丨IPS高清屏1920*1080丨【额外好礼】同配置15.6英寸丨金属外壳丨ThinkPadE15,4899.00,ThinkPad广东授权专卖店
雷神911Master2代轻薄全面屏游戏本10代i7-10750H 512G固态 100%色域 电脑 青春版-GTX1650/8G/设计师笔记本【超品日19号-21号】【购机前100名送鼠标】【抢京东600券】【低调外观、游戏内核】【100%色域】【晒图送电脑背包】,6599.00,雷神京东官方自营旗舰店
ROG 魔霸4 10代英特尔酷睿i7 15.6英寸 液金散热 240Hz 3ms电竞屏游戏笔记本电脑 2070+影刃2鼠标套装 16GB 240Hz【9月16-25日ROG宠粉狂欢】十代i7-10875H八核强芯！RTX20系高性能独显！液金散热！240Hz高刷新率！咨询客服下单有礼！晒单送双肩包！更多》,14248.00,玩家国度ROG官方旗舰店
联想威6 十代酷睿i7 2020款14英寸高端性能轻薄窄边框超薄本学生商务超极本办公手提笔记本电脑 定制 i7-10510U 8G 1T+512G 2G独显 全高清屏 银河灰下单立减300元，再送联想原装鼠标。十代酷睿i7四核，指纹识别开机二合一，窄边框视觉感，预装正版office杜绝盗版死机，全国上门联保两年，足不出户，高忱无忧！,6699.00,联想扬天京东自营授权旗舰店
微星(msi)冲锋坦克2 Pro GP75 17.3英寸游戏笔记本电脑(十代i7 16G 512G SSD RTX2070 144Hz 赛睿)【9月开学季爆款好价！单键单灯RGB竞技版】第十代狂暴i7处理器！真电竞七铜管散热模组！更有144Hz高速刷新电竞屏！9月开学季促销》,10999.00,微星游戏本京东自营官方旗舰店
华为笔记本MateBook 14 2020款超薄本全面屏超极本轻薄商务办公手提笔记本电脑 银｜I7-10510U 16G 512G独显 触屏【嗨9开学季】咨询客服限时特惠！【店长推荐】十代i5-16G+512G抢购价低至6399【豪礼即赠】送无线鼠标+拓展坞+双肩包等！~猛戳抢购！,7399.00,华为德信专卖店
华为笔记本MateBook D 14 15 全面屏轻薄本超极本学生商务办公游戏设计便捷手提笔记本电脑 15银｜十代i5 16G内存 512G固态 独显华为笔记本MateBook D 14 15 全面屏轻薄本超极本学生商务办公游戏设计便捷手提笔记本电脑 15银｜十代i5 16G内存 512G固态 独显,5299.00,华为康特专卖店
戴尔（DELL）燃5000成就5590轻薄本 15.6英寸窄边框轻薄办公学生笔记本手提电脑 十代四核i7丨8GB 256G固态+1T机械 定制 MX250 2G独显 星光银 背光键盘戴尔全新十代处理器轻薄本，窄边框IPS全高清屏，MX250独显2G，背光键盘含数字小键盘！,5999.00,戴尔奥莱专卖店
GPD p2 max 8.9英寸迷你口袋2K高清窄边框屏指纹解锁商务超轻薄手提触控固态掌上笔记本电脑 标配版|银|3965Y 8GB 256G固态【小于时代，轻于未来】[送保护包]金属机身，轻至650克左右，窄边框178度广视角全高清屏，PCIE高速固态硬盘，轻薄便携，出行优选,3999.00,GPD笔记本官方旗舰店
联想ThinkPad R490 14英寸轻薄手提商务办公笔记本电脑 酷睿i5-8265u 01CD@4G内存 256G固态硬盘 2G独显 官方标配原装内存硬盘 指纹识别 W10E14丨ThinkBook14S同尺寸丨指纹识别丨支持扩展内存与硬盘丨酷睿八代轻薄窄边框》英持尔十代处理性能更强劲请点击,3799.00,ThinkPad北京授权专卖店
神舟(HASEE)战神TX9-CU7DS 英特尔酷睿i7-10700 RTX2070 8G 16.1英寸144Hz游戏笔记本电脑(16G 512G SSD)全新十代酷睿桌面级处理器i7-10700，RTX2070光追独显，16.1英寸72%色域144Hz电竞屏十代游戏本新品特惠,9489.00,神舟电脑京东自营旗舰店
【十代新品】雷神911黑武士3游戏本i7-10750H/GTX1650TI独显8核可选笔记本电脑 ME黑/8核10代i7/1650TI 8G/512【电脑数码狂欢购】【10代i7，升级2933MHz高频内存，金属A面外壳；双风扇强散热】10代新品i5选配,6999.00,Thunderobot雷神旗舰店
联想（Lenovo）V15 2020新款 15.6英寸窄边框轻薄笔记本电脑十代酷睿i5 i5-1035G1 8G内存 256G固态 英伟达MX330 2G独显 精装定制 星空灰嗨9周年庆，神券领不停。秒杀专场倾情推出，爆款轻薄游戏本限时抢购，总有一款你的菜。9月18号-21号，600大额优惠券限量抢！游戏本，设计本网课本，限时秒杀！,4099.00,联想扬天授权旗舰店
华为笔记本MateBook 14 2020款超薄本全面屏超极本轻薄商务办公手提笔记本电脑 灰｜I5-10210U 16G 512G触屏 新款【嗨9开学季】咨询客服限时特惠！【店长推荐】十代i5-16G+512G抢购价低至6399【豪礼即赠】送无线鼠标+拓展坞+双肩包等！~猛戳抢购！,6399.00,华为德信专卖店
华为笔记本MateBook X Pro 2020款十代酷睿全面屏轻薄本超极本商务办公手提笔记本电脑 深空灰|十代i7 16G+512G独显 2020款 官方标配华为笔记本MateBook X Pro 2020款十代酷睿全面屏轻薄本超极本商务办公手提笔记本电脑 深空灰|十代i7 16G+512G独显 2020款 官方标配,9988.00,科族数码专营店
联想拯救者Y7000 2020新品酷睿i5/i7十代P高色域性能独显游戏本 吃鸡学生设计师笔记本电脑 定制版i5-10200H 8G 256G固态 GTX1650-4G电竞显卡【酷睿十代i5，稀缺货源，现货速发】全新十代酷睿标压，100%sRGB高色域全面屏，Dual-Direct-GFX双模显示！到手价低至6499,6499.00,联想汇汉授权专卖店
戴尔（DELL）灵越5000 5493 14英寸酷睿十代窄边框轻薄学生办公游戏笔记本电脑 i7-1065G7 16G 512GB固态 定制【百万补贴】【领300劵】【灵越5593轻薄笔记本】低至2799元起。前50名下单赠32G优盘。十代酷睿，IPS高清大屏，支持双硬盘前往抢购咨询客服领取更多优惠,5599.00,戴尔宇熙世纪专卖店
机械革命深海泰坦X10Ti-S八核i7标压17.3英寸电竞屏游戏本2070高端设计师大屏笔记本电脑 八核i7-10875H/RTX2070-8G 发烧极速/16G/512G PCIe+1T机械【八核十六线程-搭配RTX2070骨灰级独显-雷电3-WiFi6-液金散热全身黑科技】下单送双肩背包游戏键鼠套装鼠标垫开学季特惠2070热卖爆款低至9499,10099.00,机械革命授权专卖店
机械革命x3X8TI-S十代八核i7 10875H RTX2060 144Hz电竞学生游戏笔记本电脑 i7-10870H新八核16G512G固态+1T银【21号电脑数码狂欢，疯狂24小时，券后爆低7799】【八核强芯-独显直连-WiFi6】2020高端电竞RGB键盘|光追显卡-144HZ-88%屏幕占比-,9699.00,机械革命旗舰店
"苹果（Apple） 2020款 MacBook Pro 13.3英寸超轻薄学生办公手提笔记本电脑国行 MacBook Pro 13.3【商务灰】 【19爆款】i5/8GB/128GB/G645【Apple超级品牌日】【抢100券/12期免息,苹果爆款笔记本/酷睿i5/8G高频运行内存,低至5377】【下单即送3件节日豪礼】点击抢购",9188.00,苹果百桔专卖店
机械师(MACHENIKE) 战空F117进阶版 15.6英寸游戏本笔记本电脑(i7-10750H 8G 512GSSD GTX1660Ti 144Hz)【9月21日0:00-23:59限时秒杀6999元！！】金属A壳，钻石微立体设计，RGB智能氛围灯，360°涡轮散热，一键模式切换！更多热卖爆款》,6999.00,机械师京东自营旗舰店
惠普（HP） 薄锐ENVY15 X360 15.6英寸轻薄本触控翻转游戏本超薄窄边框超极本笔记本电脑 新品10代i7/8G/512G固态/MX330 4G独显 高色域 触控高清屏惠普（HP） 薄锐ENVY15 X360 15.6英寸轻薄本触控翻转游戏本超薄窄边框超极本笔记本电脑 新品10代i7/8G/512G固态/MX330 4G独显 高色域 触控高清屏,8299.00,惠普九州专卖店
"惠普（HP）星14青春版14英寸 超轻薄便携金属商务办公学生游戏手提笔记本电脑 星空银 i5-1035G1 2G独立显卡 8GB内存 512G Pcie高速固态 办公定制【6.5mm超窄边框，轻至1.4kg】【学习娱乐办公，轻松无压力】可选高性能2G独显款式,预装正版office办公套装。下单联系客服领取限量U盘！",4199.00,惠普易企营专卖店
联想小新air14笔记本电脑 2020款十代酷睿i5/i7高性能独显商务办公游戏学生超轻薄本 i5-1035G1丨8G  512G固态 MX350独显 IPS全高清屏 精装升级【限时直降，疯抢大额神券】金属机身窄边框，轻薄便携【DC调光，IPS全高清屏】10nm高性能处理器,5499.00,联想华南授权专卖店
惠普（HP）暗影精灵6 暗夜精灵5plus15.6英寸游戏本电竞设计笔记本电脑 I5-9300H GTX1650 4G 高清屏 8G内存 512GPCI-E 固态 标配版【惠普暗影精灵游戏本，暑期开学季，惠普电脑9.19-9.21全场满4980-600.下单送游戏本大礼包，4.99mm微边框，80%屏占比宽广视野游戏本专区点击,5949.00,惠普宇泰专卖店
外星人Alienware area-51m 17.3英寸游戏笔记本电脑(十代i7-10700K 16G 1TSSD RTX2080 SUPER 8G 300Hz)黑外星人Alienware area-51m 17.3英寸游戏笔记本电脑(十代i7-10700K 16G 1TSSD RTX2080 SUPER 8G 300Hz)黑,34999.00,外星人京东自营旗舰店
雷神(ThundeRobot) 911Air星战三代 15.6英寸游戏笔记本电脑(十代八核i7-10870H 8G 512GSSD GTX1650Ti)【限时秒杀】雷神星战三代搭载十代八核i7，512G高速固态搭，GTX1650Ti显卡推荐点击新品,6589.00,雷神京东自营官方旗舰店
联想yoga 14英寸s740酷睿i7高色域全面屏轻薄便携商务办公手提笔记本电脑 官配 | i7-1065G7 8G 512G固态厂家补贴600元大额券，英特尔酷睿十代i7处理器，100%SRGB色域，400nits亮度，轻至1.45kg，联系客服有惊喜下单即送电脑超值五件套礼品,6099.00,联想爱特家专卖店
"惠普（HP）新光影精灵6max/puls 暗夜暗影电竞5吃鸡游戏本笔记本电脑旗舰店官网 15.6""新电竞版【跨界升级】 进阶版i5 16G 512+1TB GTX16502020超级新品-MAX全新升级丨电竞版【抢600券惠普超品日-限时低至5699】【十代酷睿新品+背光键盘+窄边框】入选京品电脑榜单-电竞显卡GTX1650Ti",6999.00,惠普授权旗舰店
神舟(HASEE)战神TX8-CU5DS 英特尔酷睿i5-10400 RTX2060 6G 16.1英寸144Hz游戏笔记本电脑(16G 512G SSD)全新十代酷睿台式机处理器i5-10400，RTX2060光追独显，16.1英寸72%色域144Hz电竞屏十代游戏本新品特惠,7489.00,神舟电脑京东自营旗舰店
联想15s 2020十代酷睿i5 15.6英寸大屏办公设计高性能独显游戏学生超轻薄手提笔记本电脑 i5-1035G1 8G内存 1T+512G固态 MX330 2G独显 全高清屏 银色 定制增强版【大屏性能本】游戏、办公、学习毫不逊色【新机型高配置】英特尔十代酷睿i5、MX330高能显卡【咨询享优惠】限时领300元神券、再赠199元双肩包套装,5099.00,联想德信专卖店
微星(msi)冲锋坦克2 Pro GP75 17.3英寸游戏笔记本电脑(十代i7 16G 512G SSD RTX2070 144Hz 赛睿)【9月开学季爆款好价！单键单灯RGB竞技版】第十代狂暴i7处理器！真电竞七铜管散热模组！更有144Hz高速刷新电竞屏！9月开学季促销》,10999.00,微星游戏本京东自营官方旗舰店
高性能六核r5轻薄笔记本电脑超级本游戏办公设计本 R5-4500U 8G内存 1T+512G双硬盘 满血显卡 全高清屏 星空灰 精装升级【联想V14-2020全新版，办公游戏两全其美】新机型-十代酷睿强芯-MX330独显-FHD屏丨新品上市限时补贴200元神券，送价值199元套装，晒单领红包~,4299.00,联想佳运汇通专卖店
"ROG冰刃4新锐 十代8核英特尔酷睿i7 15.6英寸液金导热240Hz轻薄游戏笔记本电脑(i7-10875H 16G 1T RTX2070MQ)【9月21日ROG品牌钜惠】咨询客服下单有礼！十代i7,8核16线程，240Hz电竞屏,晒单送背包详情咨询客服》",16969.00,玩家国度ROG京东自营官方旗舰店
雷神911Master2代轻薄全面屏游戏本10代i7-10750H 512G固态 100%色域 电脑 豪华版-GTX1650Ti/8G/设计师笔记本【超品日19号-21号】【购机前100名送鼠标】【抢京东600券】【低调外观、游戏内核】【100%色域】【晒图送电脑背包】,7099.00,雷神京东官方自营旗舰店
联想15s 2020十代酷睿i5 15.6英寸大屏办公设计高性能独显游戏学生超轻薄手提笔记本电脑 i5-1035G1 8G内存 1T+512G固态 MX330 2G独显 全高清屏 银色 定制增强版【大屏性能本】游戏、办公、学习毫不逊色【新机型高配置】英特尔十代酷睿i5、MX330高能显卡【咨询享优惠】限时领300元神券、再赠199元双肩包套装,5099.00,联想德信专卖店
联想拯救者Y7000 2020竞技版1080P专业电竞游戏笔记本电脑r GTX1650Ti独显 i5-10300H 16G 1T+512G 定制黑10代i5标压高主频，睿频可达4.5GHz，GTX1650Ti-4G发烧级电竞独显，显卡直连游戏更畅快，双通道16G大内存；【限时秒杀，领券满减立省500元】,7798.00,联想华东授权专卖店
联想ThinkPad E15 （01CD）15.6英寸十代英特尔酷睿i3大屏商务办公ibm笔记本电脑 定制(8G内存128G固态+1TB机械 i3-10110U  FHD屏 带小数字键盘)E570升级款，比E470和E480屏幕更大，带数字键盘，全高清FHD屏，文字编辑/表格处理/影音娱乐全支持，可定制配置和系统另有爆款移动工作站点击进,3899.00,ThinkPad华南授权专卖店
华为笔记本MateBook D 14 15 轻薄商务办公超极本学生手提便携电脑锐龙r5游戏本全面屏 D14银六核R5-4500U 16G+512G新品 【预装Win 10系统+正版Office软件】【性价比之选】护眼全面屏；全新7nm锐龙处理器；华为分享新体验；爆款热卖中！,4099.00,华为航智专卖店
机械师(MACHENIKE) 战空F117进阶版 15.6英寸游戏本笔记本电脑(i7-10750H 8G 512GSSD GTX1660Ti 144Hz)【9月21日0:00-23:59限时秒杀6999元！！】金属A壳，钻石微立体设计，RGB智能氛围灯，360°涡轮散热，一键模式切换！更多热卖爆款》,6999.00,机械师京东自营旗舰店
联想小新Air14 2020新款锐龙 轻薄笔记本电脑游戏办公设计手提学生本 标配四核 R3-4300U 8G 256G固态 IPS全高清屏 精装升级 多档模式调节 深灰色全新（7nm）锐龙2020款新品、四边窄边框FHD屏、双管新散热系统远离发热烦恼、更附带全功能Type-C接口丨限时直降300元，咨询有好礼,3999.00,联想德信专卖店
"华硕（ASUS）飞行堡垒7/8 15.6英寸窄边框电竞屏游戏笔记本电脑学生手提 飞8 i5-10200H GTX1650Ti 配置四 8G/512G  PCIE固态+1TB机械【144Hz电竞屏】飞行堡垒8，电竞显卡【预售】i5-10200H/16G/512G,低至5899元咨询客服有惊喜，晒单有礼",6299.00,华硕金硕专卖店
十代酷睿i7独显超轻薄笔记本电脑14英寸全面屏设计师商务办公学生手提超极本 i7-10510U 16G内存 512G固态 2G独显 全高清屏 背光键盘 星空灰 精装升级【新品首发性能本】游戏、设计、办公全方位满足【新机型高配置-Yes！】十代酷睿i7、高效显卡、背光键盘【抢新价、领券立减600元】再送价值199元双肩包套装,6399.00,联想佳运汇通专卖店
小米笔记本RedmiBook 16 全面屏10代增强版MX350高性能独显超轻薄学生办公电脑  i7-1065G7 16G内存 512G固态【强势性价比】【16.1'超大全面屏仅重1.8kg】【100%sRGB】【强大内芯6核R5/超大16G内存让你火力全开】低至36X9元,5299.00,小米阳光专卖店
惠普（HP） 薄锐ENVY15 X360 15.6英寸轻薄本触控翻转游戏本超薄窄边框超极本笔记本电脑 新品10代i7/8G/512G固态/MX330 4G独显 高色域 触控高清屏惠普（HP） 薄锐ENVY15 X360 15.6英寸轻薄本触控翻转游戏本超薄窄边框超极本笔记本电脑 新品10代i7/8G/512G固态/MX330 4G独显 高色域 触控高清屏,8299.00,惠普九州专卖店
神舟(HASEE)战神TX8-CU5DS 英特尔酷睿i5-10400 RTX2060 6G 16.1英寸144Hz游戏笔记本电脑(16G 512G SSD)全新十代酷睿台式机处理器i5-10400，RTX2060光追独显，16.1英寸72%色域144Hz电竞屏十代游戏本新品特惠,7489.00,神舟电脑京东自营旗舰店
神舟(HASEE)战神ZX6Ti-CU5DS 英特尔酷睿i5-10400 GTX1650Ti 4G 15.6英寸144Hz游戏笔记本电脑(16G 512G SSD)全新十代酷睿桌面级处理器i5-10400，GTX1650Ti新显卡，144Hz电竞屏，16G大内存助力游戏更畅快十代游戏本新品特惠,5889.00,神舟电脑京东自营旗舰店
雷神911Air星战三代游戏笔记本电脑吃鸡15.6英寸窄边框 8G内存 512G固态 十代CPU 十代i7-10750H GTX1650 4G独显【疯狂24小时】【购机前100名送鼠标】【抢京东300券】【6MM微边】【82%屏占比】【双风扇三铜管】【一键强冷】【晒图送电脑包】,6299.00,雷神京东官方自营旗舰店
拍拍【二手9成新】华硕 （ASUS)14英寸轻薄时尚家用商用办公笔记本i5-7200 白色 E1-7010 4G 128G固态【二手9成新】华硕 （ASUS)14英寸轻薄时尚家用商用办公笔记本i5-7200 白色 E1-7010 4G 128G固态,1266.00,华夏二手电脑专营店
联想(Lenovo)旗舰店小新15 2020锐龙版超轻薄笔记本电脑AMD锐龙版(全新7nm) 标配R5-4600U/8G/512G固态 银色【小新#高颜值轻薄本】全新7nm锐龙4000系六核十二线程丨窄边框全面屏丨全尺寸舒适键盘丨更多活动猛戳这里,4399.00,联想授权旗舰店
戴尔(DELL)G7 17.3英寸精工大屏游戏本英特尔酷睿i7笔记本电脑(十代i7 16G 1T GTX1660Ti 6G)300Hz 外星人【9月开学季爆款好价！戴尔G7-17.3英寸300Hz电竞大屏游戏本爆款！】全新升级10代处理器，轻薄便携兼具强大性能！9月开学季促销》,12999.00,戴尔京东自营官方旗舰店
"戴尔（DELL）灵越7590 15.6英寸酷睿九代高能镁合金轻薄游戏笔记本电脑 i7-9750H六核GTX1650独显4G 16G内存/PCIe512G固态硬盘/定制【轻一代,创新镁合金机身减重1/3*】9代标压处理器搭载GTX显卡，背光键盘，",8199.00,戴尔奥莱专卖店
机械革命x3X8TI-S十代八核i7 10875H RTX2060 144Hz电竞学生游戏笔记本电脑 i7-10870H新八核16G512G固态+1T银【21号电脑数码狂欢，疯狂24小时，券后爆低7799】【八核强芯-独显直连-WiFi6】2020高端电竞RGB键盘|光追显卡-144HZ-88%屏幕占比-,9699.00,机械革命旗舰店
机械师T58-V 15.6英寸全面屏游戏本10代i5-10300H/GTX1650Ti独显笔记本电脑 十代i5/16G/512G PCIE固态硬盘【开学活动钜惠，16G/512G固态套餐低至5999元起】【收货晒单送飞行家背包】10代i5、GTX1650Ti-4G独显、83%屏占比、多彩背光键盘,5999.00,机械师京东自营官方旗舰店
神舟(HASEE)战神Z8-CU5NS 英特尔酷睿i5-10300H RTX2060 6G 15.6英寸144Hz游戏笔记本电脑(16G 512G SSD)全新十代酷睿标压处理器，RTX2060光追新显，144Hz电竞屏，16G大内存助力游戏更畅快十代游戏本新品特惠,6889.00,神舟电脑京东自营旗舰店
APPLE 苹果MacBook air苹果笔记本电脑13.3英寸超薄笔记本 17款标配+防水手提包+苹果原装鼠标版（赠大礼包） 官方标配【今日钜惠】下单抽iPhone等万元豪礼！领神卷立减100元；京东多仓配送，下单还送定制手提包+鼠标等好礼！MacBook-16.1英寸秒杀直降中，点此！,5888.00,科族数码专营店
外星人Alienware area-51m 17.3英寸游戏笔记本电脑(十代i7-10700K 16G 1TSSD RTX2080 SUPER 8G 300Hz)黑外星人Alienware area-51m 17.3英寸游戏笔记本电脑(十代i7-10700K 16G 1TSSD RTX2080 SUPER 8G 300Hz)黑,34999.00,外星人京东自营旗舰店
联想（Lenovo）小新Air14 2020酷睿i5/i7高性能游戏办公设计超轻薄笔记本电脑14英寸 标配丨i5-1035G1 8G 256G固态 MX350独显 14英寸 星空银【抢领200元券，购机送包鼠】全新十代酷睿i5/i7可选，新一代MX350独立显卡丨智能指纹识别，一键解锁开机丨2020款全新7nm锐龙版低至3799元起,4799.00,联想卓电授权专卖店
联想拯救者Y7000 2020款15.6英寸p r设计电竞游戏笔记本电脑酷睿10代i7-10750H 16G 256G+2T机械 GTX1650显卡定制酷睿十代标压i7-10750H六核十二线程；GTX1650电竞显卡；支持双SSD或SSD+HDD混合硬盘19日-21日平台补贴，领大额神券,8499.00,联想西南授权专卖店
"联想拯救者Y7000P竞技版2020新款游戏笔记本电脑15.6英寸144Hz高色域i7-10875H 32G 2T固态 RTX2060光追显卡 定制酷睿10代标压i7-10875H八核十六线程；144HZ,高色域专业级电竞设计屏；RTX2060光追6G独显可选19日-21日平台补贴，领大额神券",11899.00,联想西南授权专卖店
微星(msi)冲锋坦克2 Pro GP65 15.6英寸游戏笔记本电脑(十代i7 16G 512G SSD GTX1660Ti 144Hz RGB)【9月开学季爆款好价！单键单灯RGB竞技版】第十代狂暴i7处理器！真电竞七铜管散热模组！更有144Hz高速刷新电竞屏！9月开学季促销》,7999.00,微星游戏本京东自营官方旗舰店
雷神911Air星战三代游戏笔记本电脑吃鸡15.6英寸窄边框 8G内存 512G固态 十代CPU 十代i5-10300H GTX1650Ti 4G【疯狂24小时】【购机前100名送鼠标】【抢京东300券】【6MM微边】【82%屏占比】【双风扇三铜管】【一键强冷】【晒图送电脑包】,6099.00,雷神京东官方自营旗舰店
"联想小新Pro13.3英寸2020新款超轻薄学生办公笔记本电脑QHD高色域人脸识别锐龙R5/R7可选 2020款 灰色 锐龙R7-4800U八核／核显 16G内存／512G固态 标配2.5K超高清屏,16G双通道内存,DC调光无屏闪,人脸识别开盖即开机19日-21日平台补贴，领大额神券",5899.00,联想西南授权专卖店
2020新款华为笔记本MateBook 14轻薄本2K触控全面屏商务办公学生超薄笔记本轻薄手提电脑 灰十代i7 16+512G触屏+智能蓝牙音箱2020新款华为笔记本MateBook 14轻薄本2K触控全面屏商务办公学生超薄笔记本轻薄手提电脑 灰十代i7 16+512G触屏+智能蓝牙音箱,8199.00,华为康特专卖店
华为笔记本MateBook X Pro 13.9英寸超轻薄电脑全面屏金属商务办公手提超极本 深空灰|十代i5 16G+512G独显 2020款【降】爆款限时直降，火爆抢购，分期免息【抢】前10加送好礼，整点配件专区任意选【礼】下单送大礼包，晒单领惊喜查询点击福利专区,8988.00,华为新通路专卖店
惠普(HP)暗影精灵6 十代标压自营推荐新品 15.6英寸游戏笔记本电脑 【RTX2070-8G】新i7十代144hz 配置三:16G 1TSSD开学季！新机提前换！疯狂72小时！下单即送键鼠5件套.白条三期免息！凭学生证下单再送散热底座！前50名下单送散热底座抢600神劵低至5799详情猛戳,10499.00,惠普中成德胜专卖店
联想拯救者Y7000 2020新品酷睿i5/i7十代P高色域性能独显游戏本 吃鸡学生设计师笔记本电脑 定制版i5-10200H 8G 256G固态 GTX1650-4G电竞显卡【酷睿十代i5，稀缺货源，现货速发】全新十代酷睿标压，100%sRGB高色域全面屏，Dual-Direct-GFX双模显示！到手价低至6499,6499.00,联想汇汉授权专卖店
昂福镭仕15.6英寸I7笔记本电脑游戏本超轻薄本LOL游戏手提便携办公商务学生学习 四核J4105 8G内存+256G固态硬盘学生网课学习超薄窄边框超极本游戏本吃鸡本独显酷睿i5i7畅玩吃鸡/绝地求生/LOL/CF/DNF/GTA5/守望先锋（分期免息）【点击查看】,1689.00,昂福镭仕电脑专营店
联想ThinkPad T490 十代处理器 14英寸轻薄高性能商务笔记本电脑 i7/16G/256G/集显FHD背光（0SCD） 指纹识别/红外摄像头/Office/Win10T480升级款，10代处理器，工程师伙伴，可选MX250-2G独显，可选：背光键盘/IR摄像头机型【购买T14新品】,7999.00,ThinkPad上海授权专卖店
"联想(Lenovo)旗舰店拯救者Y7000高色域15.6英寸吃鸡游戏笔记本电脑2020新款 标配i5-10200H/8G/256G固态 GTX1650 4G独显100%sRGB高色域【9月19日零点-22日零点，8G/512G领券立减，到手价6099】全新十代酷睿标压，100%sRGB高色域，GTX1650独显,戳我查看同款拯救者i7处理器",6399.00,联想授权旗舰店
微星(msi)强袭2 GE66 游戏本笔记本电脑 15.6英寸240Hz电竞屏十代酷睿 赛睿多彩键盘 十代i7/2070/16G/1T固态【RTX2060游戏本，立减300】咨询客服下单送电竞套装，100%sRGB/144Hz电竞屏，十代i7标压处理器，赛睿RGB背光键盘。货源紧俏，点击前往选购》,13999.00,微星电脑京东自营旗舰店
联想扬天V340 2020款15.6英寸十代酷睿i3超薄本学生轻薄游戏超极本商务办公手提笔记本电脑 定制 I3-1005G1/8G/256G固态+1T 2G独显 IPS全高清屏 星空灰下单立减300元，再送联想原装鼠标，15.6英寸FHD全高清屏幕显示更多，指纹开机键二合一，预装office杜绝盗版死机，全国上门联保两年，足不出户，高忱无忧！,4499.00,联想扬天京东自营授权旗舰店
联想(Lenovo)IdeaPad14s 2020款超轻薄网课办公笔记本电脑14英寸银色 定制i3-1005G1/8G/1T+256G固态【9月19日零点-22日零点，领券满2980减300，到手价3189起】全新十代处理器，双通道内存，可加装机械硬盘，戳我查看同配置15.6英寸大屏国民本,3699.00,联想授权旗舰店
【2020款】联想拯救者y7000 英特尔十代酷睿i5电竞游戏本p 100%高色域设计笔记本电脑 i5-10200H 16G 1T+256G双硬盘 GTX1650 4G独显 精装升级版 黑色【精选爆款游戏本】十代标压酷睿i5强芯、GTX1650高能独立显卡、全新TSI霜刃散热、Fn+Q游戏野兽模式随心切换6到飞起，办公设计游戏全能型抢神券600元,7299.00,联想德信专卖店
华硕(ASUS)笔记本电脑顽石6代i5轻薄本Y4200 14英寸学生办公手提电脑 星空灰 热卖丨i5-8265U 8G 512G固态 2G【9月华硕品牌欢聚盛典，顽石6代学生办公低至3599】i5处理器，512G固态硬盘7秒开机，14英寸超窄边框,3799.00,华硕恩荣专卖店
联想(Lenovo)旗舰店小新15 2020锐龙版超轻薄笔记本电脑AMD锐龙版(全新7nm) 标配R5-4600U/16G/512固态 银色【小新#高颜值轻薄本】全新7nm锐龙4000系六核十二线程丨窄边框全面屏丨全尺寸舒适键盘丨更多活动猛戳这里,4699.00,联想授权旗舰店
